RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,Unnamed: 59,Latitude,Longitude
C,100403807000,10070637321.0,ARDINGLY,1ST ARDINGLY SCOUTS,,1995-04-01,,,SCOUT HUT,HOLMANS,ARDINGLY,HAYWARDS HEATH WEST SUSSEX,RH17 6UQ,2275,LC3,Hall and Premises,Y,20,80,0,-908.18,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0456,-0.1234
C,100603407380,10070638747.0,BALCOMBE,1ST BALCOMBE SCOUT GROUP,,1995-04-01,,,SCOUT HUT,LONDON ROAD,BALCOMBE,HAYWARDS HEATH WEST SUSSEX,RH17 6HS,1950,LC3,Hall and Premises,Y,0,80,0,-778.44,2020-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0456,-0.1234
C,101047407160,10070639014.0,BURGESS HILL,1ST BURGESS HILL SCOUT GROUP,,1995-04-01,SCOUT CENTRE R/O 94/98,,SCOUT CENTRE R/O 94/98,STATION ROAD,BURGESS HILL,WEST SUSSEX,RH15 9EN,5800,LC3,Hall and Premises,Y,20,80,0,-2315.36,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9656,-0.1245
C,104802407440,10070640218.0,WORTH,1ST COPTHORNE SCOUTS GROUP,,1995-04-01,,,SCOUT HUT ADJ HUMPHREYS FIELD,BORERS ARMS ROAD,COPTHORNE,CRAWLEY WEST SUSSEX,RH10 3LJ,8100,CW3,Store and Premises,Y,20,80,0,-2218.93,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,Y,-1268.24,2025-04-01,2026-04-01,N,0.0,,N,0.0,,,,,51.1123,-0.1656
C,104802407260,10070640218.0,WORTH,1ST COPTHORNE SCOUTS GROUP,,1995-04-01,,,1ST COPTHORNE SCOUT GROUP,BORERS ARMS ROAD,COPTHORNE,CRAWLEY WEST SUSSEX,RH10 3LJ,5400,LC3,Hall and Premises,Y,20,80,0,-1901.94,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,Y,-317.18,2025-04-01,2026-04-01,N,0.0,,N,0.0,,,,,51.1123,-0.1656
C,101408807000,100062616767.0,CUCKFIELD,1ST CUCKFIELD SCOUTS,,1995-04-01,,,SCOUT HEADQUARTERS,STOCKLANDS CLOSE,CUCKFIELD,HAYWARDS HEATH WEST SUSSEX,RH17 5HH,1700,LC3,Hall and Premises,Y,20,80,0,-662.79,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,Y,-19.81,2025-04-01,2026-04-01,N,0.0,,N,0.0,,,,,51.0312,-0.0945
C,101841401000,10070634493.0,EAST GRINSTEAD,1ST EAST GRINSTEAD SCOUT GROUP,,1995-04-01,,,100 MOAT ROAD,EAST GRINSTEAD,WEST SUSSEX,,RH19 3LW,5300,LC3,Hall and Premises,Y,20,80,0,-2115.76,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1189,-0.0234
C,102805607000,10070639949.0,HASSOCKS,1ST HASSOCKS SCOUTS,,2000-04-01,SCOUT HEADQUARTERS,,SCOUT HEADQUARTERS,PARKLANDS ROAD,CLAYTON. HASSOCKS,WEST SUSSEX,BN6 8JY,3850,LC3,Hall and Premises,Y,0,80,0,-1536.92,2018-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9187,-0.1572
C,10222060716Z,10094498002.0,HAYWARDS HEATH,1ST HAYWARDS HEATH SCOUT GROUP,,1995-04-01,,,SCOUT HEADQUARTERS,FRANKLANDS VILLAGE,HAYWARDS HEATH,WEST SUSSEX,RH16 3RS,7000,LC3,Hall and Premises,Y,20,80,0,-2794.4,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9956,-0.1234
C,102641007050,100062273629.0,HURSTPIERPOINT,1ST HURSTPIERPOINT SCOUT GROUP,,1995-04-01,,,SCOUTS HEADQUARTERS,BROWN TWINS ROAD,HURSTPIERPOINT,HASSOCKS WEST SUSSEX,BN6 9XT,6900,LC3,Hall and Premises,Y,20,80,0,-2754.48,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.928,-0.1645
C,103005407010,10090016142.0,LINDFIELD,1ST LINDFIELD SCOUT GROUP,,1995-04-01,SCOUT HUT,,SCOUT HUT,EASTERN ROAD,LINDFIELD,HAYWARDS HEATH WEST SUSSEX,RH16 3LR,1700,LC3,Hall and Premises,Y,20,80,0,-678.64,1995-04-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9956,-0.1234
C,10482220700Z,100062617485.0,WORTH,1ST TURNERS HILL AND CRAWLEY,DOWN SCOUT GROUP,2006-11-01,SCOUT HEADQUARTERS,,SCOUT HEADQUARTERS,SPINNEY CLOSE. CRAWLEY DOWN,CRAWLEY,WEST SUSSEX,RH10 4PF,2800,LC3,Hall and Premises,Y,20,80,0,-749.25,2006-11-01,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,Y,-460.64,2025-04-01,2026-04-01,N,0.0,,N,0.0,,,,,51.0987,-0.1423
C,10224820042B,10090016782.0,HAYWARDS HEATH,3 F INTERNATIONAL LTD,,2017-08-04,,,REAR SUITE. 1ST FLR 42 SOUTH ROAD,HAYWARDS HEATH,WEST SUSSEX,,RH16 4LA,14000,CO,Offices and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-2328.67,2017-08-04,,0,,,0,0,,Y,-102.43,N,0.0,,Y,-102.43,2023-04-01,N,0.0,,,N,0.0,,N,0.0,,,,,51.0134,-0.1156
C,101061807130,10070639100.0,BURGESS HILL,3 STEP DESIGNS LTD,,2015-07-09,,,UNIT B3 BURGESS HILL TRADE CENTRE,YORK ROAD,BURGESS HILL,WEST SUSSEX,RH19 9AD,45500,CW,Warehouse and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,Y,-9081.8,Y,-9081.8,2022-04-01,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.1378,-0.0189
C,10102340046X,10070638874.0,BURGESS HILL,327 CARS LTD,,2017-04-01,R/O 46 JUNCTION ROAD,,R/O 46 JUNCTION ROAD,BURGESS HILL,WEST SUSSEX,,RH15 0JN,10000,CW1,Land,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-4990.0,2017-04-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.9587,-0.1234
C,103600500045,10095670799.0,POYNINGS,3N GROUP LTD,T/A DEMOLITION PAINTBALL,2020-02-01,,,PAINTBALL SITE,STONESTAPLES WOOD,BRIGHTON ROAD WOODMANCOTE,WEST SUSSEX,BN45 7AW,6400,LX,Paint Ball Site and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,Y,-3193.6,2020-02-01,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,50.8987,-0.1843
C,103005000416,10095671138.0,LINDFIELD,4 CARTERS LIMITED,,2023-04-01,,,CAR PARKING SPACE 4-6 DENMANS LANE,HAYWARDS HEATH,WEST SUSSEX,,RH16 2LB,600,CP1,Car Parking Space and Premises,N,0,0,0,0.0,,N,0,0,0.0,0.0,,N,0.0,,,0,,,0,0,,N,0.0,N,0.0,,N,0.0,,N,0.0,,,N,0.0,,N,0.0,,,,,51.0087,-0.1045
