RP Type,Property Reference      ,UPRN                    ,Parish                          ,Account Holder 1                                          ,Account Holder 2                                          ,Liable From  ,Property Name 1                                ,Property Name 2                                ,Address 1                                      ,Address 2                                      ,Address 3            ,Address 4            ,Post Code     ,Rateable Value,VO Code,Property Description                                      ,Charity,Discretionary,Mandatory,Disc Char Amt,Mand Char Amt,Charity Relief From,Rural,Disc Rural   ,Mand Rural   ,Disc Rural Amt,Mand Rural Amt,Rural From,SBRR,SBRR Amount,SBRR From ,S44,S44 Amount,S44 From  ,S49,S49 Amount,S49 Percent,S49 From  ,Local Discount,Local Amount,RHL,RHL Amount,RHL From,SSB,SSB Amount,SSB From,Transitional,Transitional Amount,Transitional From,Transitional To,Empty,Empty Amount,Empty From,Exempt,Exempt Amount,Exempt From,Exempt To  ,Exempt Type,
C,1.00404E+11,010070637321,ARDINGLY,1ST ARDINGLY SCOUTS,,4/1/1995,,,SCOUT HUT,HOLMANS,ARDINGLY,HAYWARDS HEATH WEST SUSSEX,RH17 6UQ,2275,LC3,HALL AND PREMISES,Y,20,80,0,-908.18,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.00603E+11,010070638747,BALCOMBE,1ST BALCOMBE SCOUT GROUP,,4/1/1995,,,SCOUT HUT,LONDON ROAD,BALCOMBE,HAYWARDS HEATH WEST SUSSEX,RH17 6HS,1950,LC3,HALL AND PREMISES,Y,0,80,0,-778.44,4/1/2020,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01047E+11,010070639014,BURGESS HILL,1ST BURGESS HILL SCOUT GROUP,,4/1/1995,SCOUT CENTRE R/O 94/98,,SCOUT CENTRE R/O 94/98,STATION ROAD,BURGESS HILL,WEST SUSSEX,RH15 9EN,5800,LC3,HALL AND PREMISES,Y,20,80,0,-2315.36,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.04802E+11,10070640218,WORTH,1ST COPTHORNE SCOUTS GROUP,,4/1/1995,,,SCOUT HUT ADJ HUMPHREYS FIELD,BORERS ARMS ROAD,COPTHORNE,CRAWLEY WEST SUSSEX,RH10 3LJ,8100,CW3,STORE AND PREMISES,Y,20,80,0,-2218.93,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,Y,-1268.24,4/1/2025,4/1/2026,N,0,,N,0,,,,
C,1.04802E+11,010070640218,WORTH,1ST COPTHORNE SCOUTS GROUP,,4/1/1995,,,1ST COPTHORNE SCOUT GROUP,BORERS ARMS ROAD,COPTHORNE,CRAWLEY WEST SUSSEX,RH10 3LJ,5400,LC3,HALL AND PREMISES,Y,20,80,0,-1901.94,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,Y,-317.18,4/1/2025,4/1/2026,N,0,,N,0,,,,
C,1.01409E+11,1.00063E+11,CUCKFIELD,1ST CUCKFIELD SCOUTS,,4/1/1995,,,SCOUT HEADQUARTERS,STOCKLANDS CLOSE,CUCKFIELD,HAYWARDS HEATH WEST SUSSEX,RH17 5HH,1700,LC3,HALL AND PREMISES,Y,20,80,0,-662.79,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,Y,-19.81,4/1/2025,4/1/2026,N,0,,N,0,,,,
C,1.01841E+11,010070634493,EAST GRINSTEAD,1ST EAST GRINSTEAD SCOUT GROUP,,4/1/1995,,,100 MOAT ROAD,EAST GRINSTEAD,WEST SUSSEX,,RH19 3LW,5300,LC3,HALL AND PREMISES,Y,20,80,0,-2115.76,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.02806E+11,010070639949,HASSOCKS,1ST HASSOCKS SCOUTS,,4/1/2000,SCOUT HEADQUARTERS,,SCOUT HEADQUARTERS,PARKLANDS ROAD,CLAYTON. HASSOCKS,WEST SUSSEX,BN6 8JY,3850,LC3,HALL AND PREMISES,Y,0,80,0,-1536.92,4/1/2018,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10222060716Z,10094498002,HAYWARDS HEATH,1ST HAYWARDS HEATH SCOUT GROUP,,4/1/1995,,,SCOUT HEADQUARTERS,FRANKLANDS VILLAGE,HAYWARDS HEATH,WEST SUSSEX,RH16 3RS,7000,LC3,HALL AND PREMISES,Y,20,80,0,-2794.4,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.02641E+11,1.00062E+11,HURSTPIERPOINT,1ST HURSTPIERPOINT SCOUT GROUP,,4/1/1995,,,SCOUTS HEADQUARTERS,BROWN TWINS ROAD,HURSTPIERPOINT,HASSOCKS WEST SUSSEX,BN6 9XT,6900,LC3,HALL AND PREMISES,Y,20,80,0,-2754.48,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.03005E+11,010090016142,LINDFIELD,1ST LINDFIELD SCOUT GROUP,,4/1/1995,SCOUT HUT,,SCOUT HUT,EASTERN ROAD,LINDFIELD,HAYWARDS HEATH WEST SUSSEX,RH16 3LR,1700,LC3,HALL AND PREMISES,Y,20,80,0,-678.64,4/1/1995,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10482220700Z,1.00063E+11,WORTH,1ST TURNERS HILL AND CRAWLEY,DOWN SCOUT GROUP,11/1/2006,SCOUT HEADQUARTERS,,SCOUT HEADQUARTERS,SPINNEY CLOSE. CRAWLEY DOWN,CRAWLEY,WEST SUSSEX,RH10 4PF,2800,LC3,HALL AND PREMISES,Y,20,80,0,-749.25,11/1/2006,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,Y,-460.64,4/1/2025,4/1/2026,N,0,,N,0,,,,
C,10224820042B,010090016782,HAYWARDS HEATH,3 F INTERNATIONAL LTD,,8/4/2017,,,REAR SUITE. 1ST FLR 42 SOUTH ROAD,HAYWARDS HEATH,WEST SUSSEX,,RH16 4LA,14000,CO,OFFICES AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-2328.67,8/4/2017,,0,,,0,0,,Y,-102.43,N,0,,Y,-102.43,4/1/2023,N,0,,,N,0,,N,0,,,,
C,1.01062E+11,010070639100,BURGESS HILL,3 STEP DESIGNS LTD,,7/9/2015,,,UNIT B3 BURGESS HILL TRADE CENTRE,YORK ROAD,BURGESS HILL,WEST SUSSEX,RH19 9AD,45500,CW,WAREHOUSE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-9081.8,Y,-9081.8,4/1/2022,N,0,,N,0,,,N,0,,N,0,,,,
C,10102340046X,010070638874,BURGESS HILL,327 CARS LTD,,4/1/2017,R/O 46 JUNCTION ROAD,,R/O 46 JUNCTION ROAD,BURGESS HILL,WEST SUSSEX,,RH15 0JN,10000,CW1,LAND,N,0,0,0,0,,N,0,0,0,0,,Y,-4990,4/1/2017,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.03601E+11,010095670799,POYNINGS,3N GROUP LTD,T/A DEMOLITION PAINTBALL,2/1/2020,,,PAINTBALL SITE,STONESTAPLES WOOD,BRIGHTON ROAD WOODMANCOTE,WEST SUSSEX,BN45 7AW,6400,LX,PAINT BALL SITE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-3193.6,2/1/2020,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.03005E+11,010095671138,LINDFIELD,4 CARTERS LIMITED,,4/1/2023,,,CAR PARKING SPACE 4-6 DENMANS LANE,HAYWARDS HEATH,WEST SUSSEX,,RH16 2LB,600,CP1,Car Parking Space and Premises,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,10400380724Z,010070637950,SLAUGHAM,4FRONT CAR SALES LIMITED,,5/1/2009,,,4 FRONT CAR SALES,LONDON ROAD. HANDCROSS,HAYWARDS HEATH,WEST SUSSEX,RH17 6BA,86000,CG3,CAR SHOWROOM AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-19092,Y,-19092,4/1/2023,N,0,,N,0,,,N,0,,N,0,,,,
C,10100810079Z,010070623777,BURGESS HILL,4JRIN LIMITED,T/A SHRUNKEN TERRA,7/15/2021,79-81 CHURCH WALK,,79-81 CHURCH WALK,BURGESS HILL,WEST SUSSEX,,RH15 9BQ,18300,LX,CHILDRENS ADVENTURE CENTRE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-3652.68,Y,-3652.68,4/1/2022,N,0,,N,0,,,N,0,,N,0,,,,
C,1.04603E+11,010070640182,WEST HOATHLY,4TH DIMENSION LTD,,4/12/2024,,,BLACKLAND FARM,GRINSTEAD LANE,SHARPTHORNE,EAST GRINSTEAD WEST SUSSEX,RH19 4HP,91800,CC,CAMPING SITE AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-20379.6,Y,-20379.6,4/12/2024,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01019E+11,1.00063E+11,BURGESS HILL,5TH BURGESS HILL SCOUT GROUP,,4/1/1995,SCOUTS BUILDING,,SCOUTS BUILDING,GORDON ROAD,BURGESS HILL,WEST SUSSEX,RH15 0PX,4450,LC3,HALL AND PREMISES,Y,0,80,0,-1776.44,4/1/2016,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.0221E+11,010090944840,HAYWARDS HEATH,717BROS LTD,,10/1/2025,,,UNIT 22,JOHN DE MIERRE HOUSE,20 BRIDGE ROAD,HAYWARDS HEATH. WEST SUSSEX,RH16 1UA,10250,CO,OFFICES AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,Y,-2550.37,10/1/2025,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
C,1.02248E+11,1.00062E+11,HAYWARDS HEATH,7TH GENERATION(8) LTD,,5/16/2022,,,105 SOUTH ROAD,HAYWARDS HEATH,WEST SUSSEX,,RH16 4LR,17500,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-3493,Y,-3493,5/16/2022,N,0,,N,0,,,N,0,,N,0,,,,
C,10182980012Z,10070625709,EAST GRINSTEAD,7TH HEAVEN SALON LIMITED,,9/23/2009,12 KING STREET,,12 KING STREET,EAST GRINSTEAD,WEST SUSSEX,,RH19 3DJ,17750,CS,SHOP AND PREMISES,N,0,0,0,0,,N,0,0,0,0,,N,0,,,0,,,0,0,,Y,-3542.9,Y,-3542.9,4/1/2022,N,0,,N,0,,,N,0,,N,0,,,,
C,1.01043E+11,010070638998,BURGESS HILL,8TH BURGESS HILL (ST EDWARDS),SCOUT GROUP,4/1/1995,,,8TH BURGESS HILL SCOUT GROUP,SCOUT HALL,ROYAL GEORGE ROAD,BURGESS HILL WEST SUSSEX,RH15 9TD,1675,LC3,HALL AND PREMISES,Y,0,80,0,-668.66,4/1/2020,N,0,0,0,0,,N,0,,,0,,,0,0,,N,0,N,0,,N,0,,N,0,,,N,0,,N,0,,,,
